City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,tamanrasset,22.785,5.5228,295.1,10,{'all': 0},"{'speed': 2.06, 'deg': 290}",DZ,2023-12-03 17:37:16 UTC
39,altay,47.8667,88.1167,272.28,92,{'all': 100},"{'speed': 1.94, 'deg': 78, 'gust': 3.82}",CN,2023-12-03 17:37:16 UTC
40,puerto carreno,6.189,-67.4859,306.14,52,{'all': 20},"{'speed': 5.14, 'deg': 40}",CO,2023-12-03 17:32:51 UTC
41,grytviken,-54.2811,-36.5092,276.88,62,{'all': 22},"{'speed': 5, 'deg': 233, 'gust': 6.07}",GS,2023-12-03 17:37:17 UTC
42,port-aux-francais,-49.35,70.2167,278.48,83,{'all': 100},"{'speed': 13.28, 'deg': 278, 'gust': 17.95}",TF,2023-12-03 17:37:17 UTC
43,faya-largeau,17.9257,19.1043,298.85,12,{'all': 14},"{'speed': 5.31, 'deg': 48, 'gust': 6.48}",TD,2023-12-03 17:37:18 UTC
44,puerto aysen,-45.4,-72.7,282.71,91,{'all': 90},"{'speed': 1.91, 'deg': 278, 'gust': 2.74}",CL,2023-12-03 17:37:18 UTC
45,ushuaia,-54.8,-68.3,283.96,58,{'all': 0},"{'speed': 6.17, 'deg': 240}",AR,2023-12-03 17:37:18 UTC
46,saint-pierre,-21.3393,55.4781,295.13,78,{'all': 75},"{'speed': 2.57, 'deg': 30}",RE,2023-12-03 17:37:18 UTC
47,valparaiso,-33.0393,-71.6273,298.28,41,{'all': 0},"{'speed': 8.75, 'deg': 160}",CL,2023-12-03 17:36:09 UTC
48,bako,5.7833,36.5667,292.59,66,{'all': 36},"{'speed': 1.92, 'deg': 54, 'gust': 2.09}",ET,2023-12-03 17:37:19 UTC
49,kingston,17.997,-76.7936,305.68,57,{'all': 20},"{'speed': 9.26, 'deg': 140}",JM,2023-12-03 17:36:36 UTC
50,tralee,52.2704,-9.7026,277.29,87,{'all': 75},"{'speed': 3.6, 'deg': 50}",IE,2023-12-03 17:37:19 UTC
51,susuman,62.7833,148.1667,239.15,98,{'all': 100},"{'speed': 0.5, 'deg': 7, 'gust': 0.61}",RU,2023-12-03 17:37:19 UTC
